ID,Tittle,Category ID,Store Id,RedirectUrl,Description,,type of coupon,MetaTittle,MetaKeyword,MetaDescription,Code,Image,ExpiryDate,Position,Status,UserID,Date,UpdateDate,ShowOnHome,TittlePostFix,Prefix,Postfix,Tag,Details,Desp
,"64,95€",14,39,www.articlesdeparis.com,Sandals from €64.95,,,,,,,,46007
,343,14,40,www.bernardellistores.com,Women's t-shirts from €343,,,,,,,,45818
,389,14,40,www.bernardellistores.com,Women's bags from €389,,,,,,,,45889
,145,14,40,www.bernardellistores.com,Sunglasses from €145,,,,,,,,45882
,185,14,40,www.bernardellistores.com,Hats from 185€,,,,,,,," August 19, 2025"
,246,14,40,www.bernardellistores.com,Children's shoes from €246,,,,,,,,45890
,0.53,14,41,www.celio.com,Up To 53% Off Jujutsu Kaisen T-Shirt,,,,,,,,45791
,Free delivery,14,41,www.celio.com,Free delivery from 49€ of purchases,,,,,,,,45791
,0.4,14,41,www.celio.com,Save 40% on Men's Naruto Clothing,,,,,,,,45798
,0.35,14,41,www.celio.com,Get up to 35% off jogging pants,,,,,,,,45792
,0.42,14,41,www.celio.com,Up To 42% Off Cargo Pants,,,,,,,,45793
,35,14,42,www.eole.co,Hoodie from €35,,,,,,,,45988
,0.1,14,42,www.eole.co,10% off when you subscribe to the newsletter,,,,,,,,
,25,14,42,www.eole.co,Short-sleeved t-shirt from €25,,,,,,,,
,27,14,42,www.eole.co,Framed poster from €27,,,,,,,,45994
,20,14,42,www.eole.co,Pouches from 20€,,,,,,,,45980
,Quick expedition,14,43,www.friperiedusart.fr,Fast delivery on your order,,,,,,,,
,Offers,14,43,www.friperiedusart.fr,Subscribe to the newsletter to receive the latest offers,,,,,,,,
,Low price,14,43,www.friperiedusart.fr,Get women's clothing at discount prices,,,,,,,,47443
,Low price,14,43,www.friperiedusart.fr,Get men's clothing at low prices,,,,,,,,47036
,0.38,14,44,store.greatergood.com,Up to 38% off walking shoes,,,,,,,,45847
,0.1,14,44,store.greatergood.com,10% off when you subscribe to the newsletter,,,,,,,,
,0.12,14,44,store.greatergood.com,Up to 12% off socks,,,,,,,,
,0.45,14,44,store.greatergood.com,45% off,Save up to 45% on men's clothing and accessories,,,,,,,45854
,0.44,14,44,store.greatergood.com,44% off women's dresses and skirts,,,,,,,,45883
,250,14,45,www.hogan.com,Wallet from 250€,,,,,,,,45770
,Free delivery,14,45,www.hogan.com,Free delivery from 250€ of purchases,,,,,,,,45792
,190,14,45,www.hogan.com,Belt from 190€,,,,,,,,45769
,420,14,45,www.hogan.com,Hogan H-Stripes sneakers from €420,,,,,,,,45762
,150,14,45,www.hogan.com,T-shirt from 150€,,,,,,,,45763
,0.7,14,46,www.isawitfirst.com,70% reduction on trench coats,,,,,,,,
,0.5,14,46,www.isawitfirst.com,Up to 50% off jeans,,,,,,,,
,0.7,14,46,www.isawitfirst.com,70% discount,Offer 70% off long sleeve dresses.,,,,,,,45980
,0.48,14,46,www.isawitfirst.com,Save 48% on jogging pants,,,,,,,,
,0.3,14,46,www.isawitfirst.com,30% off selected knitted dresses,,,,,,,,
,0.05,16,47,www.ador.com,5% off first order,,,,,,,,
,0.71,16,47,www.ador.com,Up to 71% off t-shirts,,,,,,,,
,0.77,16,47,www.ador.com,77% off women's rompers,,,,,,,,
,"3,87€",16,47,www.ador.com,Maxi dresses from €3.87,,,,,,,,
,"11,38€",16,47,www.ador.com,Necklace at €11.38,,,,,,WELLCOME,,47680
,6,16,48,www.beebeecraft.com,Save up to €6 for orders over €50,,,,,,38861,,45861
,18,16,48,www.beebeecraft.com,€18 discount code on orders over €30,,,,,,43244,,45861
,5,16,48,www.beebeecraft.com,5€ reduction by subscribing to the newsletter,,,,,,,,
,Free delivery,16,48,www.beebeecraft.com,Free delivery from 50€ of purchases,,,,,,,,
,0.45,16,48,www.beebeecraft.com,Up To 45% Off Acrylic Beads Offer,,,,,,,,45854
,0.1,16,49,www.candyjewels.ch,10% off when you subscribe to the newsletter,,,,,,,,
,59,16,49,www.candyjewels.ch,Men's necklaces from €59,,,,,,,,45874
,25,16,49,www.candyjewels.ch,Bracelets from 25€,,,,,,,,
,8,16,49,www.candyjewels.ch,Earrings from 8€,,,,,,,,
,139,16,49,www.candyjewels.ch,Watches from €139,,,,,,,,
,0.4,16,50,diamondveneer.com,Up to 40% off earrings,,,,,,,," August 12, 2025"
,0.15,16,50,diamondveneer.com,15% off when you subscribe to the newsletter,,,,,,,,45882
,Free delivery,16,50,diamondveneer.com,Free delivery from 100€ of purchases,,,,,,,,
,0.54,16,50,diamondveneer.com,54% off selected bracelets,,,,,,,,45818
,0.25,16,50,diamondveneer.com,25% off pendants,,,,,,,,45974
,19,16,51,elinorabijoux.com,Earrings from €19,,,,,,,,45881
,20,16,51,elinorabijoux.com,Fancy necklaces from €20,,,,,,,,45883
,29,16,51,elinorabijoux.com,Costume jewelry bracelets from €29,,,,,,,,45881
,15,16,51,elinorabijoux.com,Brooches from 15€,,,,,,,,45981
,39,16,51,elinorabijoux.com,Leather bags and belts from €39,,,,,,,,45979
,0.4,16,52,faithheart-jewelry.com,Valentine's Day Promo: Up to 40% Off Sitewide,,,,,,,,
,0.2,16,52,faithheart-jewelry.com,20% off when you subscribe to the newsletter,,,,,,,,
,"30,95€",16,52,faithheart-jewelry.com,Bracelets from €30.95,,,,,,,,
,"15,95€",16,52,faithheart-jewelry.com,Earrings from Earrings from €15.95,,,,,,,,
,"18,95€",16,52,faithheart-jewelry.com,Necklaces from €18.95,,,,,,,,46190
,58,17,53,alisonandaubrey.com,Wavy rings from €58,,,,,,,,
,0.15,17,53,alisonandaubrey.com,15% off when you subscribe to the newsletter,,,,,,,,
,Free delivery,17,53,alisonandaubrey.com,Free delivery from 49€ of purchases,,,,,,,,
,26,17,53,alisonandaubrey.com,Herringbone chain bracelet from €26,,,,,,,,45952
,98,17,53,alisonandaubrey.com,Necklaces from 98€,,,,,,,,
,0.1,17,54,iea.bijouxprives.com,10% discount code,10% additional discount for two pieces of jewelry purchased,,,,,BJP2023POUR2,,45657
,0.1,17,54,iea.bijouxprives.com,10% off when you subscribe to the newsletter,,,,,,,,46379
,Free delivery,17,54,iea.bijouxprives.com,Free delivery from 59€ of purchases,,,,,,,,47345
,0.51,17,54,iea.bijouxprives.com,Up to 51% off women's rings,,,,,,,,47456
,0.65,17,54,iea.bijouxprives.com,Save 65% on earrings,,,,,,,,47409
,0.22,17,55,www.chronext.fr,Save 22% on CCleaner Pro Plus,,,,,,,,
,0.1,17,55,www.chronext.fr,10% off when you subscribe to the newsletter,,,,,,,,
,Free delivery,17,55,www.chronext.fr,Free delivery from 30€ of purchases,,,,,,,,
,20,17,55,www.chronext.fr,Get the CCleaner Cloud solution from €20,,,,,,,,
,"29,95€",17,55,www.chronext.fr,Buy CCleaner Pro from €29.95,,,,,,,," August 13, 2025"
,219,17,56,eu.danielwellington.com,Vegan leather bags from €219,,,,,,,,
,0.1,17,56,eu.danielwellington.com,10% off when you subscribe to the newsletter,,,,,,,,
,Free delivery,17,56,eu.danielwellington.com,Get free delivery on every order,,,,,,,,
,69,17,56,eu.danielwellington.com,Apple watch accessories from €69,,,,,,,," November 20, 2025"
,119,17,56,eu.danielwellington.com,Women's sunglasses from €119,,,,,,,,45981
,10,20,57,addictsneakers.com,10€ Code Promo Addict Sneakers,€10 discount on any order at Addict Sneakers,,,,,NEWADDICT,,": July 31, 2024"
,20,20,57,addictsneakers.com,20€ Code de reduction Addict Sneakers,20€ discount from 350€ purchase,,,,,WINTERADDICT20,,45469
,50,20,57,addictsneakers.com,50€ discount,French Day Sale; up to €50 Sitewide Discount Sale,,,,,,,45442
,195,20,57,addictsneakers.com,UGG Ultra Mini from €195,,,,,,,,45881
,Free delivery,20,57,addictsneakers.com,Benefit from free delivery on every order,,,,,,,,
,0.4,20,58,www.bexley.fr,Up to 40% Discount,Flash Sale: Up to 40% off selected products,,,,,,,45660
,Free delivery,20,58,www.bexley.fr,Free delivery from 99€ purchase,,,,,,,,
,0.35,20,58,www.bexley.fr,Save up to 35% on belts and leather goods,,,,,,,,45660
,0.3,20,58,www.bexley.fr,30% off pants and Bermuda shorts,,,,,,,," January 09, 2026"
,0.4,20,59,www.camper.com,40% Off Offer Sitewide,,,,,,,,
,0.3,20,59,www.camper.com,Up to 30% off women's sneakers,,,,,,,,
,0.2,20,59,www.camper.com,20% off selected men's slippers,,,,,,,,
,free delivery,20,59,www.camper.com,Get free delivery on every order,,,,,,,,
,0.1,20,59,www.camper.com,10% off when you subscribe to the newsletter,,,,,,,,
,0.1,20,60,www.dcshoes.fr,10% discount,Offer up to 10% off T-shirts,,,,,,,45882
,0.1,20,60,www.dcshoes.fr,10% off when you subscribe to the newsletter,,,,,,,,
,0.25,20,60,www.dcshoes.fr,25% off,25% Off Offer on Women's Sweatshirts,,,,,,,45854
,0.3,20,60,www.dcshoes.fr,30% discount,30% off sale on selected jackets and coats,,,,,,,45889
,70,20,60,www.dcshoes.fr,Trousers from 70€,,,,,,,,45889
,0.2,20,61,www.emuaustralia.com,20% ONE promo code Australia,,,,,,20SITEOFF,,45657
,0.1,20,61,www.emuaustralia.com,10% EMU Australia discount code,,,,,,WELCOMEBACK10,,45658
,Free delivery,20,61,www.emuaustralia.com,Free EU delivery on all orders,,,,,,,,
,0.5,20,61,www.emuaustralia.com,Save 50% on the purchase of 2 Australian made sheepskin shoes for men,,,,,,,,
,20,20,62,www.faguo-store.com,Receive €20 thanks to Faguo sponsorship,,,,,,,,47709
,9,20,62,www.faguo-store.com,The best Faguo accessories from just €9,,,,,,,,47708
,35,20,62,www.faguo-store.com,Eco-responsible clothing from €35 at Faguo,,,,,,,,46216
,95,20,62,www.faguo-store.com,Faguo luggage from €95,,,,,,,,47836
,88,20,62,www.faguo-store.com,Sneakers from €88 on the Faguo store,,,,,,,,47710
,99,20,63,www.geox.com,Women's sneakers from €99,,,,,,,,
,10,20,63,www.geox.com,10€ reduction by subscribing to the newsletter,,,,,,,,
,Free delivery,20,63,www.geox.com,Free delivery from 59€ of purchases,,,,,,,,
,48,20,63,www.geox.com,T-shirts and polo shirts from €48,,,,,,,,45897
,74,20,63,www.geox.com,Girls' Led Shoes from €74,,,,,,,,45882
,0.2,20,64,www.havaianas-store.com,20% discount,,,,,,,,
,0.15,20,64,www.havaianas-store.com,15% off when you subscribe to the newsletter,,,,,,,,
,0.2,20,64,www.havaianas-store.com,20% off Shorts & Pants,,,,,,,,
,0.2,20,64,www.havaianas-store.com,20% off,,,,,,,,
,0.16,20,64,www.havaianas-store.com,Save 16% on Sunglasses,,,,,,,,
,0.38,20,65,www.intersport.fr,Offer up to 38% off on Bicycle Helmets,,,,,,,,53215
,0.4,20,65,www.intersport.fr,40% off men's hiking clothing,,,,,,,,53112
,Free delivery,20,65,www.intersport.fr,Free delivery from 30€ of purchases,,,,,,,,
,0.5,20,65,www.intersport.fr,50% off socks,,,,,,,,53462
